Time,0,15,30,45,60,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285
MUID806,0.34200965,0.95796412,1.05662744,0.87782508,0.05940991,-0.74385565,-0.58819075,-0.987366624,-0.34104532,-0.05094914,0.108866534,0.555003094,0.967085504,1.034073457,0.65982192,-0.064511505,-0.60099646,-0.952630952,-0.90724488,-0.587056589
MUID1005,0.00746936,0.81235472,1.24722044,1.05858848,0.22441168,-0.76947025,-0.95009805,-1.109431624,-0.72873682,-0.49965164,-0.023614347,0.467932894,0.979876904,1.067286457,0.76628232,0.174728655,-0.36952306,-0.731487852,-1.09053068,-0.616676089
MUID1555,-0.003720936,0.42572682,0.74686504,0.85279678,0.31566038,-0.44790605,-0.70975145,-1.003352624,-0.53333002,-0.25883174,-0.012208125,0.243520194,0.683065004,0.815538857,0.66508472,0.140546155,-0.47586276,-0.686424852,-1.14147868,-0.618775989
MUID1895,0.04595486,0.31191142,0.57880334,0.47423498,-0.09040382,0.003918151,-0.20090325,-0.533237524,-0.09838028,-0.014063959,-0.032392257,0.274788294,0.399796504,0.572461057,0.50046932,0.145798155,-0.01876682,-0.233362452,-0.29927198,0.000140648
MUID1928,0.25893765,1.35573572,1.74809344,1.19649748,-0.00656683,-1.63622445,-1.88535475,-2.674561624,-1.44890882,-0.84041594,0.045192574,0.961742694,1.511168804,1.531293457,1.10544552,0.044774645,-1.12844786,-1.887814152,-2.49806368,-1.548788389
MUID2193,0.05423031,0.20968362,0.37192814,0.46133338,0.37212648,-0.06369284,-0.25176675,-0.416592024,-0.27466222,-0.24446114,-0.104056367,0.047647864,0.152997004,0.408617857,0.40483532,0.197759655,-0.08407315,-0.193387252,-0.09546778,-0.047755029
MUID2242,0.10069255,0.06628236,0.04074618,-0.05565943,-0.37641262,0.34227175,0.04825975,0.043217986,-0.43096812,-0.08650518,0.098293434,-0.000853361,-0.004770827,-0.040032763,-0.0010731,-0.244877245,0.09423523,-0.192734152,-0.67628838,0.418502411
MUID228,0.12735205,-0.08681266,-0.42156256,-0.54741522,-0.25674542,0.004075886,0.09179305,0.170831376,0.21398208,0.18669856,0.135611934,-0.001650019,-0.199900897,-0.357665343,-0.31017748,-0.150586245,-0.01903007,0.205192248,0.50583582,0.140490211
MUID2290,-0.36426745,0.44287442,1.24163744,1.70762848,1.23296768,0.03171312,-0.72645525,-1.012650624,-0.81493692,-0.80337294,-0.333131867,0.314038794,0.967820304,1.487231457,1.56925252,1.028704455,-0.01436967,-0.679983952,-0.87668538,-1.178963389
MUID2319,0.0580729,0.91982682,1.46457544,1.24865248,0.23197418,-1.06058045,-1.16223775,-1.200508624,-0.89806672,-0.57084824,-0.077516877,0.650994194,1.161585804,1.347293457,1.04278352,0.129008055,-0.76523086,-1.131175152,-1.16382068,-1.063994389
MUID2325,-1.05558845,-0.75971838,0.11185564,1.16726548,1.51149868,1.23102555,0.24835665,-0.597133024,-1.05394282,-1.20813114,-1.122016567,-0.729801006,-0.145121097,0.687263357,1.26129152,1.274747455,0.81206064,0.143768648,-0.48324008,-0.971054789
MUID2326,-0.73011205,-0.56098658,0.09739654,0.93052498,1.41446068,0.86043205,0.0366146,-0.552512724,-0.78037712,-0.91945374,-0.836426267,-0.533324606,-0.062930727,0.558372757,1.04824452,1.132441455,0.58862804,0.067514168,-0.40814578,-0.799187389
MUID2360,0.32883275,0.88650092,1.24521544,0.83376538,0.12897648,-0.57805085,-0.55783035,-0.308338024,-0.53029732,-0.25126214,0.102108034,0.479876994,0.770135904,0.984670757,0.53222502,-0.098131745,-0.21889296,-0.507178152,-0.68784068,-0.483510889
MUID237,0.41114625,0.80098682,0.85704824,0.60547528,0.05735232,-0.40495135,-0.59965915,-0.863626524,-0.40313432,-0.26069044,0.098425434,0.400071094,0.639943904,0.699847257,0.50332042,-0.019193365,-0.64556596,-0.696012352,-0.76557128,-0.796922289
MUID268,0.01063733,0.71346332,1.44255944,1.33639048,0.53318268,-0.49695915,-0.53197745,-0.522702324,-0.61273822,-0.16794154,-0.026876097,0.456144094,0.929378104,1.264225457,1.01515832,0.372639055,-0.24935816,-0.660114152,-0.87494938,-0.680594189
MUID2717,0.28799155,0.87092732,1.19064344,0.95405438,-0.20821472,-0.46622915,-0.50692635,-0.546457324,-0.14030442,0.01054421,0.238381734,0.645666994,0.905053404,0.909167157,0.46225762,-0.089324845,-0.43499856,-0.579318452,-0.30691448,-0.021849009
MUID2765,0.04239429,0.56200822,1.02838144,1.50369948,0.94421038,-0.05058253,-0.49803805,-1.440276624,-0.66258492,-0.52202674,-0.342579567,0.462567994,1.103293804,1.343341457,1.46317452,0.728226555,-0.13840166,-0.731374452,-0.98386468,-0.982268389
MUID2872,-0.20762045,-0.03803778,0.32057734,0.58801208,0.60951558,0.32114685,-0.03569189,-0.842279024,-0.23242082,-0.40499084,-0.176185167,0.010630864,0.198482604,0.518780757,0.65890292,0.592851955,0.21835064,-0.129904252,-0.44910098,-0.235475189
MUID3188,0.19526835,1.28142972,1.84081644,1.72906748,0.62604298,-1.28303445,-2.05447875,-2.322036624,-1.57500382,-0.94714644,-0.155825267,0.887427294,1.470198804,1.747043457,1.31152352,0.151010555,-1.46748186,-2.048260152,-2.55615968,-1.555138389
MUID3378,0.16392205,0.41906582,0.58002314,0.71482118,0.23136968,-0.28840405,-0.32333345,-0.527125824,-0.43602592,-0.28732034,-0.204225967,0.215836894,0.731600804,0.606796557,0.53779442,0.204562055,-0.36308586,-0.414524652,-0.86257538,-0.502275989
